ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
GPeriodic,ΧΗΜΕΙΑ,ΧΗΜΕΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://gperiodic.seul.org/,Eφαρμογή για την πλοήγηση στον περιοδικό πίνακα των χημικών στοιχείων,OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
",
graph,ΜΑΘΗΜΑΤΙΚΑ,ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.padowan.dk/,Εφαρμογή σχεδίασης μαθηματικών γραφημάτων με συντεταγμένες,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
GraphViz,ΜΑΘΗΜΑΤΙΚΑ,ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.graphviz.org/,Graph visualization software,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
gravit,ΦΥΣΙΚΗ,ΦΥΣΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://gravit.slowchop.com/, εργαλείο προσομοίωσης της βαρύτητας. Μεταξύ άλλων παρέχει τη δυνατότητα δημιουργίας τρισδιάστατων βαρυτικών μοτίβων.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Greenfoot Java,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,"ΠΛΗΡΟΦΟΡΙΚΗ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.greenfoot.org/door,"Visual tools coupled with programming, making learning to program easier ","
OPEN SOURCE",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
gvSIG,ΓΕΩΓΡΑΦΙΑ,ΓΕΩΓΡΑΦΙΑ,"ΓΥΜΝΑΣΙΟ
",http://www.gvsig.org/web/home/projects/gvsig-educa,,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Gzip,ΣΥΜΠΙΕΣΗ ΑΡΧΕΙΩΝ,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.gzip.org,"Εφαρμογή συμπίεση αρχείων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Hot Potatoes,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΠΡΩΤΟΒΑΘΜΙΑ,,το Hot Potatoes είναι μία συλλογή μικρών εφαρμογών για τη δημιουργία ασκήσεων εξάσκησης ή αξιολόγησης μέσω Η/Υ ή διαδικτύου.τ,,,
http://sxoleio.cu.cc/,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://sxoleio.cu.cc/,,,ΠΛΑΤΦΟΡΜΑ,ONLINE
Inkscape,ΣΧΕΔΙΑΣΗ ΔΙΑΝΥΣΜΑΤΙΚΩΝ ΓΡΑΦΙΚΩΝ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ#ΛΥΚΕΙΟ#ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://inkscape.org/en/,Το Inkscape είναι ένας επεξεργαστής διανυσματικών γραφικών ανοικτού κώδικα,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Interactive Story Maps,ΔΙΑΔΡΑΣΤΙΚΕΣ ΙΣΤΟΡΙΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://storymaps.arcgis.com/en/,"Esri Story Maps let you combine authoritative maps with narrative text, images, and multimedia content.",,ΠΛΑΤΦΟΡΜΑ,
Interactive WEB Physics,ΦΥΣΙΚΗ,ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,https://www.iwphys.org/,"Innteractive Web Physics is a Java, Web-based animation and problem designer tool. Anyone can quickly design mathematics or physics animations and simulations that run in a web browser. Unlike other solutions, no knowledge of programming is required.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Italc,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://italc.sourceforge.net/," Εφαρμογή ανοικτού κώδικα για τη διαχείριση μαθημάτων σε σχολικό εργαστήριο υπολογιστών (επίδειξη οθόνης, κλείδωμα υπολογιστών μαθητών, remote control και άλλα πολλά)",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, LINUX"
Jigsawplanet,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.jigsawplanet.com/,Free online jigsaw puzzles,,ΠΛΑΤΦΟΡΜΑ,
JUMP GIS,ΓΕΩΓΡΑΦΙΑ,ΓΕΩΓΡΑΦΙΑ,"ΓΥΜΝΑΣΙΟ
",http://jump-pilot.sourceforge.net,Σύστημα Γεωγραφικ'ων Πληροφοριών,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
kapman,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/kapman/,Παιχνίδι τυπου pacman,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Kazam,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,,"ΠΡΩΤΟΒΑΘΜΙΑ
",https://sourceforge.net/projects/kazam/,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Kblocks,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/kblocks/,Παιχνίδι τύπου Tetris,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
KDEnlive,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://kdenlive.org/,ΒΙΝΤΕΟ ΕΠΕΞΕΡΓΑΣΙΑ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
KiCad,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://kicad-pcb.org/,ΗΛΕΚΤΡΟΝΙΚΗ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Kizoa,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.kizoa.com/,ΒΙΝΤΕΟ ΕΠΕΞΕΡΓΑΣΙΑ,,ΠΛΑΤΦΟΡΜΑ,ONLINE
Kig,ΓΕΩΜΕΤΡΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΠΡΩΤΟΒΑΘΜΙΑ,https://edu.kde.org/kig/?site_locale=el,ΓΕΩΜΕΤΡΙΑ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
klogic,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.a-rostin.de/,ΗΛΕΚΤΡΟΝΙΚΗ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Kodi,ΠΟΛΥΜΕΣΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://kodi.tv/,ΠΟΛΥΜΕΣΑ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Kodu,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kodugamelab.com,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,,,
Koha,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://koha-community.org,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,
kollision,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/kollision/,Παιχνίδι εξοικειωσης με το ποντικι,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
kolourpaint,ΖΩΓΡΑΦΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/graphics/kolourpaint/,Απλή εφαρμογή ζωγραφικής,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Kompozer,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://kompozer.net/,"Πρόγραμμα επεξεργασία HTML- Δημιουργία ιστοσελίδων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
ksquares,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/ksquares/,Παιχνίδι - Ενώνω σημεία για δημιουργία τετραγώνων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
ktuberling,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/ktuberling/,,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
KTurtle,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΩΤΟΒΑΘΜΙΑ, https://edu.kde.org/kturtle/,Το πρόγραμμα αυτό αποτελεί ένα χρήσιμο εργαλείο για τη διδασκαλία της γεωμετρίας και βασικών αρχών προγραμματισμού σε παιδιά.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Kuali OLE,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.kuali.org/ole,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,
LAMS,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ, https://wiki.lamsfoundation.org/display/lams/Home,Σύστημα Διαχείρισης Μαθησιακών Δραστηριοτήτων (LAMS) - Σχεδιασμού Μάθησης https://www.lamsfoundation.org/ (ΕΛΛΑΚ) και ως υπηρεσία στο ΠΣΔ http://lams.sch.gr/lams,,OER,OER
Leaflet,ΔΙΑΔΡΑΣΤΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://leafletjs.com/,open-source JavaScript library για διαδραστικούς χάρτες για κινητά,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Libav,ΜΟΥΣΙΚΗ ΕΠΕΞΕΡΓΑΣΊΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://libav.org/,"Εργαλεία και βιβλιοθηκες για μετατροπή και χειρισμό αρχείων πολυμέσων
","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,
LibLime Koha,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://liblime.com,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,
Libre CAD,ΣΧΕΔΙΑΣΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://librecad.org/cms/home.html,To LibreCAD είναι ένα πρόγραμμα CAD που έχει σχεδιαστεί για να λειτουργεί σε όλα τα λειτουργικά συστήματα. Είναι ένα fork του QCad και του LibreCAD και έχει ένα γραφικό που θα φανεί γνωστό για τους χρήστες του AutoCAD. Το LibreCAD από προεπιλογή χρησιμοποιεί τη μορφή αρχείων AutoCAD DXF για την εισαγωγή και την αποθήκευση και προορίζεται  περισσότερο για σχέδια 2D.,"OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
LibreOffice,ΕΦΑΡΜΟΓΕΣ ΓΡΑΦΕΙΟΥ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,,,
Libreplan,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.libreplan.com/home,Διαχείριση έργων,,,
lightbot ,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,https://lightbot.com/,Πλατφόρμα δημιουργίας  Κουιζ,,ΠΛΑΤΦΟΡΜΑ,ONLINE
Likinux,ΛΕΙΤΟΥΡΓΙΚΟ ΣΥΣΤΗΜΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://likinux.blogspot.gr/,"Μια διανομή Linux για μαθητές, φοιτητές, εκπαιδευτικούς κι ανειδίκευτους χρήστες. Το Likinux 2012 είναι ένα πλήρες, εξελληνισμένο και δωρεάν περιβάλλον εργασίας για PCs, laptops, netbooks και tablets (ειδικά παραμετροποιημένο για εργαστήρια Πληροφορικής). Είναι βασισμένο στο Ubuntu 11.10 64bit, ενώ διαθέτει πληθώρα εφαρμογών και ρυθμίσεων που θα ικανοποιήσουν και τον πιο απαιτητικό χρήστη.",OPEN SOURCE,OPERATING SYSTEM,LINUX
LimeSurvey,ΔΗΜΙΟΥΡΓΙΑ ΕΡΩΤΗΜΑΤΟΛΟΓΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://limesurvey.org,Πλατφόρμα δημιουργίας ερωτηματολογιών - Κουιζ,,ΠΛΑΤΦΟΡΜΑ,"
"
Linphone,ΙΝΤΕΡΝΕΤΙΚΗ ΤΗΛΕΦΩΝΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.linphone.org/,"Linphone is an open source SIP Phone, available on mobile and desktop environments (iOS, Android, Windows Phone 8, GNU/Linux, Windows Desktop, MAC OSX) and on web browsers.",OPEN SOURCE,,CROSSPLATFORM
"Linux MultiMedia Studio,",ΠΟΛΥΜΕΣΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://lmms.io/,"LMMS (formerly Linux MultiMedia Studio) is digital audio workstation software. When LMMS is executed on a computer with appropriate hardware, music can be produced by synthesizing sounds, arranging samples, playing on a MIDI keyboard, and combining the features of trackers, sequencers, and synthesizers. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Logo,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,,,
marble,ΓΕΩΓΡΑΦΙΑ,ΓΕΩΓΡΑΦΙΑ,ΛΥΚΕΙΟ,https://marble.kde.org/,virtual globe and world atlas,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Mahara,ΔΗΜΙΟΥΡΓΙΑ E-PORTFOLIO,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΛΥΚΕΙΟ
",https://mahara.org/,Δημιουργία e-portfolio,OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE
maxima,ΜΑΘΗΜΑΤΙΚΑ,ΜΑΘΗΜΑΤΙΚΑ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://maxima.sourceforge.net/,Εργαλείο υλοποίησης αλγεβρικών πράξεων ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
mazesmith,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://maze.sxoleio.cu.cc/,Παιχνίδι - Φτιάξτε λαβύρινθους και εκτυπώστε ή παίξτε στον browser,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Mindmaps,ΝΟΗΤΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://drichard.org/mindmaps/,HTML5 based mind mapping application,OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE
MindRaider,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://mindraider.sourceforge.net,Διαχείριση έργων,,,
Molecular Workbench,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,ΛΥΚΕΙΟ,http://mw.concord.org/modeler/,Is a modeling tool for designing and conducting computational experiments across science.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Moodle,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ
",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://moodle.org,Πλατφόρμες eLearning,,,
moovly,ΠΟΛΥΜΕΣΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://www.moovly.com/,Πλατφόρμα δημιουργίας πολυμσεικού περιεχομένου,,ΠΛΑΤΦΟΡΜΑ,
MSWLogo,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,"ΠΛΗΡΟΦΟΡΙΚΗ
",ΠΡΩΤΟΒΑΘΜΙΑ,http://www.softronix.com/,Περιβάλλον προγραμματισμού LOGO,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
MuseScore,ΜΟΥΣΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://musescore.org/el,"Εφαρμογή Εγγραφής Μουσικού Κειμένου
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
netbeans,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΟΣΧΟΛΙΚΗ,https://netbeans.org/,NetBeans is a software development platform written in Java.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
notepad++,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://notepad-plus-plus.org/,"Notepad++ is a free (as in ""free speech"" and also as in ""free beer"") source code editor and Notepad replacement that supports several languages. Running in the MS Windows environment, its use is governed by GPL License.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Ns-3,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.nsnam.org/,"ns-3 is a discrete-event network simulator for Internet systems, targeted primarily for research and educational use",OPEN SOURCE,"SOURCE CODE
",
ObjectKAREL,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΛΥΚΕΙΟ
",,Εκπαιδευτικό προγραμματιστικό περιβάλλον  για μια εισαγωγή στον αντικειμενοστραφή προγραμματισμό που αναπτύχθηκε στο Πανεπιστήμιο Μακεδονίας,,,
Okular,ΠΡΟΒΟΛΗ ΕΓΓΡΑΦΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://okular.kde.org/,Εφαρμογή προβολής εγγράφων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Open Circuit Design,ΗΛΕΚΤΡΟΝΙΚΗ,"ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://opencircuitdesign.com/,Συλλογή εφαρμογών ηλεκτρονικής σχεδιασης ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Open-Sancore,ΔΙΑΔΡΑΣΤΙΚΟΙ ΠΙΝΑΚΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://open-sankore.org/,Λογισμικό για διαδραστικούς πίνακες,"OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
OpenBiblio,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://obiblio.sourceforge.net,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,
Openeclass,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.openeclass.org,"Η πλατφόρμα Open eClass είναι ένα ολοκληρωμένο Σύστημα Διαχείρισης Ηλεκτρονικών Μαθημάτων και συνιστά προσφορά του Ελληνικού Ακαδημαϊκού Διαδικτύου (GUnet) στην εκπαιδευτική και ακαδημαϊκή κοινότητα. Έχει σχεδιαστεί με προσανατολισμό την ενίσχυση της εκπαιδευτικής διαδικασίας, βασίζεται στη φιλοσοφία του λογισμικού ανοικτού κώδικα, υποστηρίζεται ενεργά από το GUnet και διανέμεται ελεύθερα. Βασική επιδίωξη της πλατφόρμας είναι η ενσωμάτωση των νέων τεχνολογιών και η εποικοδομητική χρήση του διαδικτύου στην εκπαιδευτική διαδικασία.",,,
OpenELMS,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.openelms.org,Πλατφόρμες eLearning,,,
Openshot,ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.openshot.org/,"Επεξεργασία βίντεο
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
OpenStudent,ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://openstudent.ca,Συστήματα διαχείρισης Πληροφοριών,,,
Oregano,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://github.com/drahnr/oregano,Πρόγραμμα για την προσομοίωση ηλεκτρικών κυκλωμάτων. ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
PDFCreator,ΔΗΜΙΟΥΡΓΙΑ PDF,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.pdfforge.org/pdfcreator,"Εφαρμογή δημιουργίας PDF
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Photorec,"ΑΝΑΚΤΗΣΗ ΑΡΧΕΙΩΝ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.cgsecurity.org/wiki/PhotoRec,Προγραμμα ανακτησης διεγραμμενων αρχειων το οποιο δουλευει τοσο σε καρτα μνημης φωτογραφικων μηχανων οσο και σε σκληρους δισκους μιας και υποστηριζει και πολλων ειδων αρχεια.,OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
",CROSSPLATFORM
php,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,,,
